Date,News Title
6/1/2022,"Here are Wednesday’s biggest analyst calls: Amazon, Netflix, Etsy, Nvidia, Nike, Ford, Tesla & more"
6/2/2022,"Here are Thursday’s biggest analyst calls: Netflix, Snap, Tesla, Home Depot, GameStop, Twilio & more"
11/1/2022,Forget Tesla? Citi and HSBC name 2 alternatives to play the EV boom
11/7/2022,"Watch Loup’s Gene Munster break down shares of Meta, Apple and Tesla"
11/7/2022,"Here are Monday’s biggest analyst calls: Tesla, Apple, Costco, DoorDash, Berkshire Hathaway and more"
11/8/2022,Cramer’s lightning round: I think Tesla is a decent situation
11/10/2022,Musk sells 19.5 million more Tesla shares
1/14/2022,Trading the EV race as trouble brews at Tesla
6/21/2023,"GM and Ford are not Tesla’s competitors, says Deutsche Bank’s Emmanuel Rosner"
11/10/2020,Tesla expands warranty to cover defective main computers in some Model S and X vehicles
12/1/2020,Tesla’s stock will be added to the S&P 500 in a single step before the ...
12/1/2020,"LG Chem to double China battery capacity to meet Tesla demand: Reuters, citing sources"
12/4/2020,Kelly Evans: Being wrong on Tesla
12/5/2020,Tesla publishes its first-ever diversity report revealing leadership is 83% male and 59% White
12/8/2020,"Tesla to raise up to $5 billion in share offering, its second in three months"
12/11/2020,Volatile Tesla’s entry into the S&P 500 may not be a quiet ride for the ...
12/15/2020,Tesla’s market cap tops the 9 largest automakers combined — Experts disagree about if that ...
12/15/2020,Ford wants some Tesla buzz as all-electric Mach-E Mustang hits showrooms
12/18/2020,"How Tesla’s inclusion will impact the S&P 500′s performance and valuation, according to Goldman"
12/19/2020,Jay Leno reveals what he thinks is the genius behind Elon Musk and Tesla
12/22/2020,Researcher says Tesla stock is too expensive and in bubble territory following Apple car report
1/6/2021,Morgan Stanley’s Adam Jonas raises Tesla price target to a Wall Street high of $810
1/14/2021,"U.S. vehicle safety agency asks Tesla to recall 158,716 older vehicles over touchscreen glitches"
1/21/2021,"Jim Chanos is no longer short Tesla, but he’s still betting against the stock"
1/23/2021,Tesla posts several job openings for Semi truck production lines in Nevada
1/23/2021,Tesla sues former employee for allegedly stealing software code
2/20/2021,"What investors are missing when it comes to Tesla’s valuation, according to trader"
2/23/2021,"Tesla drops as much as 13%, turns negative for the year"
2/23/2021,"Tesla’s share price is now directly tied to the value of bitcoin, analyst says"
3/16/2021,Volkswagen CEO says he wants to ‘get close and then overtake’ Tesla
3/24/2021,Elon Musk says people can now buy a Tesla with bitcoin
4/1/2021,Apple will use Tesla Megapack batteries at its solar farm facility
4/5/2021,Tesla shares jump as much as 7% after first-quarter sales surge
4/20/2021,Elon Musk says Autopilot was not enabled in Tesla crash in Texas
4/27/2021,Tesla’s bitcoin speculation helped boost profits by more than $100 million in Q1
4/28/2021,"Hedge fund manager Dan Niles is short Tesla, but is betting on electric vehicles with ..."
4/28/2021,Auto lobby seeks update to federal car safety standards following Tesla crashes
6/30/2021,"Tesla Model 3 regains safety endorsements from Consumer Reports, IIHS"
7/2/2021,"Tesla Model S Plaid caught fire while driver was at the wheel, says fire chief"
7/9/2021,Cramer says he’d rather own Tesla than GM right now — but this auto maker ...
7/22/2021,"Elon Musk walks back his fossil fuel worries, says Tesla will likely start accepting bitcoin ..."
7/27/2021,"Tesla reports more than $1 billion in net income during Q2, up tenfold from a ..."
8/9/2021,"Jefferies upgrades Tesla, predicts shares to rally 22%, says company is still the innovation leader"
8/20/2021,Elon Musk’s Tesla is developing a humanoid robot — Meet ‘Tesla Bot’
9/9/2021,Chinese Tesla rival XPeng plans new vehicles and targets a distant future in robots and ...
9/14/2021,"Cathie Wood sees big gains for stocks, crypto and Tesla: ’If we are right, the ..."
9/15/2021,"From ‘blatantly biased’ to ‘discriminatory:’ Tesla, Toyota and Honda criticize $4,500 EV tax incentive for ..."
9/15/2021,"Bank of America predicts 50% gain in Lucid, compares EV maker to Tesla and Ferrari"
11/15/2021,There’s an overall buoyancy to EV stocks: Fmr. Tesla president McNeill
11/15/2021,"Tesla, Nvidia and Microsoft are ‘way ahead of themselves,’ trader warns"
11/16/2021,"Stocks making the biggest moves midday: Boeing, Dollar Tree, Tesla and more"
11/16/2021,Taxes aren’t the only reason Elon Musk is selling Tesla stock
11/16/2021,Here’s a breakdown of Elon Musk’s Tesla stock sell-off
11/17/2021,Here’s why battery manufacturers like Samsung and Panasonic and car makers like Tesla are embracing ...
11/18/2021,"Jim Cramer: Tesla could be like Amazon, and there is no second Amazon"
11/19/2021,"Here are Friday’s biggest analyst calls of the day: Tesla, Amazon, Plug Power, Delta & ..."
11/24/2021,Creator Robin Wigglesworth explains the ‘Tesla-financial complex’
11/25/2021,"Ark Invest’s Cathie Wood: Apple should’ve bought Tesla, but ‘we’re happy they didn’t’"
12/2/2021,"Cathie Wood gives the 2022 outlook for her funds and talks Tesla, Rivian, metaverse and ..."
12/3/2021,"Elon Musk exercises more options, sells Tesla shares worth $1.01 billion"
12/4/2021,Tesla CEO Elon Musk sells more shares to pay taxes
12/4/2021,How to play Tesla if you see shares heading in reverse
12/8/2021,"Stocks making the biggest moves midday: Apple, Tesla, Starbucks and more"
12/9/2021,"Tesla takes a breather, and trader sees potential trouble ahead"
12/9/2021,"Tesla, bitcoin, growth stocks? Which market bubbles may pop next"
12/10/2021,"Investors should be negative on Tesla, says GLJ Research’s Johnson"
12/10/2021,Goldman says buy this stock with exposure to Tesla and Rivian as EV market grows
12/15/2021,"Tesla stock hit by growing competition, says CFRA’s Garrett Nelson"
12/15/2021,Loup’s Gene Munster says Elon Musk’s Tesla stock sales are a smart move
4/1/2022,"Here are Friday’s biggest analyst calls of the day: Snap, Tesla, Alphabet, Gap, Wynn, Apple ..."
4/4/2022,"Here are Monday’s biggest analyst calls of the day: Tesla, Apple, JPMorgan, Nio, Amazon, & ..."
4/4/2022,Jim Cramer reacts to Elon Musk’s Twitter stake and Tesla’s Q1 vehicle deliveries
4/4/2022,"I would not worry about Tesla’s supply-chain issues in short term, says DVX Ventures CEO"
4/6/2022,"Here are Wednesday’s biggest analyst calls of the day: Caterpillar, Apple, Tesla, Rivian & more"
4/7/2022,"Here are Thursday’s biggest analyst calls of the day: Apple, Netflix, Tesla, Unity, Disney & ..."
4/12/2022,"EV maker Lucid debuts its latest Tesla rival, a high-performance luxury sedan with a 446-mile ..."
4/15/2022,"Stocks making the biggest moves midday: Twitter, Tesla, Goldman Sachs, IBM and more"
4/18/2022,"Inside Rivian’s EV plant and CEO RJ Scaringe’s strategy for growth, lower-priced EVs and competing ..."
4/19/2022,"Here are Tuesday’s biggest analyst calls of the day: Tesla, Amazon, Roblox, Apple, WeWork & ..."
4/21/2022,Here’s what investors need to know about Tesla’s Q1 earnings
4/21/2022,"Over half of Tesla’s value could be attributed to robotaxi business, says Ark Invest’s Tasha ..."
4/21/2022,Jim Cramer reacts to Tesla’s Q1 earnings: It was a ‘tour de force’
4/21/2022,"Thursday, April 21, 2022: Markets are strong led by Tesla and airlines stocks are on ..."
4/22/2022,Tesla’s stock surges after strong earnings
4/25/2022,Tesla’s Elon Musk is a visionary says former Renault-Nissan executive Carlos Ghosn
5/1/2022,"Detroit automakers aren’t letting up on a long-standing rivalry, even as they pivot to take ..."
9/28/2022,"Here are Wednesday’s biggest analyst calls: Tesla, Apple, Netflix, Nike, Biogen, Levi Strauss & more"
10/8/2022,"Investors should buy AMD and Tesla to ride out volatile market, says Keith Fitz-Gerald"
10/14/2022,"Inside the only lithium producer in the U.S., which provides the critical mineral used in ..."
10/15/2022,"Stocks making the biggest moves midday: JPMorgan Chase, Albertsons, Tesla, Beyond Meat, Delta and more"
4/9/2022,Elon Musk teases Tesla’s entry into lithium mining
4/21/2022,Checking in on Tesla’s earnings call
9/24/2020,"Here’s Tesla’s key level after Battery Day disappointment, according to one trader"
10/2/2020,"Tesla delivered 139,300 vehicles in Q3"
10/2/2020,"Tesla Autopilot gets ‘moderate’ grade from European vehicle safety authority while Audi, BMW and Mercedes ..."
10/8/2020,"Tesla owner says he butt-dialed a $4,280 Autopilot upgrade — and is still waiting on ..."
10/16/2020,"Morgan Stanley raises Tesla target based on delivery numbers, but firm still on the sidelines"
10/22/2020,Why Tesla’s 20-million electric vehicle goal could next take Elon Musk to India
10/27/2020,Tesla paid CEO Elon Musk $3 million to provide indemnity for directors and officers against ...
11/10/2020,What a Biden White House could mean for Tesla
11/21/2020,California gives Tesla ‘essential workforce’ exemption from new Covid-19 health orders
11/21/2020,One theory on why Tesla is back to a record high
11/25/2020,"Tesla recalls 9,500 Model X and Model Y cars over roof, bolt issues"
12/2/2020,Tesla CEO Elon Musk says if rival asked for a merger he’d ‘have that conversation’ ...
12/4/2020,"‘Ride the wave’ in Tesla as stock climbs on $780 price target from Goldman Sachs, ..."
12/11/2020,"Jefferies downgrades Tesla, says it doesn’t believe electric carmaker can dominate auto industry"
12/13/2020,Tesla tells employees Model S and X production will shut down for 18 days
12/18/2020,Traders brace for wild action and historic volume ahead of Tesla’s entry into the S&P ...
12/21/2020,"Tesla shares fall 6% as it enters the S&P 500 with 1.69% weighting, fifth largest"
1/12/2021,"Citi downgrades Nio, saying red hot China EV play may have trouble challenging Tesla"
1/18/2021,Tesla delivers its first Shanghai-made Model Y crossovers in China
1/21/2021,Tesla Model 3 reportedly explodes in Shanghai parking garage
2/8/2021,"Tesla buys $1.5 billion in bitcoin, plans to accept it as payment"
2/9/2021,"Bitcoin is headed higher long term, but don’t chase now on Tesla buy, BTIG strategist ..."
2/10/2021,"Tesla’s bitcoin move will spur more company purchases, drive price higher, Ark Invest says"
2/18/2021,"Cathie Wood says her confidence is growing in Tesla, Ark Invest has been adding to ..."
2/22/2021,"Tesla has made about $1 billion in profit on its bitcoin investment, analyst estimates"
3/1/2021,Not just Tesla: Tech analyst says electric vehicle stocks could soar 50% this year
3/3/2021,India woos Tesla with offer of cheaper production costs than China
3/3/2021,Why some Chinese are buying local electric car brands like Nio — instead of Tesla
3/10/2021,"Tesla surges 20%, nearly wiping out five straight days of selling"
5/3/2021,Tesla is reportedly boosting engagement with regulators in China as it faces scrutiny in the ...
5/11/2021,"NTSB releases preliminary report on fatal Tesla crash in Spring, Texas"
5/11/2021,Tesla puts brake on Shanghai land buy as U.S.-China tensions weigh: sources
5/13/2021,As much as $365 billion wiped off cryptocurrency market after Tesla stops car purchases with ...
5/17/2021,Elon Musk clarifies that ‘Tesla has not sold any Bitcoin’
5/18/2021,What ‘regulatory credits’ are — and why they’re so important to Tesla
5/19/2021,"Elon Musk tweets ‘diamond hands’ emoji amid bitcoin drop, implying Tesla won’t sell"
5/19/2021,"Tesla, Coinbase lead drop in crypto-related stocks as bitcoin plunges"
5/29/2021,How Tesla is quietly expanding its energy storage business
6/8/2021,Tesla veteran Jerome Guillen leaves after less than three months leading trucking business
6/25/2021,"Panasonic sold its entire stake in Tesla last fiscal year, report says"
7/2/2021,Inside Volvo-backed Polestar’s plan to compete with Tesla in the U.S.
7/19/2021,"Chinese electric carmaker Xpeng prices its new sedan at $24,700 undercutting Tesla"
7/21/2021,"In push to supply Tesla, Piedmont Lithium irks North Carolina neighbors"
7/22/2021,Shares of Australian miner BHP jump 3% after news of nickel supply deal with Tesla
7/27/2021,Profitability is an important metric in upcoming Tesla earnings report
7/27/2021,Tesla shares pop after hours following earnings report
7/27/2021,"Stocks making the biggest moves after hours: Tesla, F5 Networks, Coinbase and more"
8/5/2021,Pete Buttigieg says he doesn’t know why Elon Musk’s Tesla wasn’t invited to Biden’s clean-car ...
8/5/2021,Tesla Megapack fire highlights issues to be solved for utility ‘big batteries’
10/2/2021,Auto executive turned international fugitive Carlos Ghosn says German automakers are best positioned to challenge ...
10/4/2021,Tesla Q3 deliveries beat Wall Street estimates — Here’s how it compared to Ford and ...
10/5/2021,"Trading Nation: As Tesla bucks market sell-off, Oppenheimer charts where stock heads next"
10/6/2021,Tesla ordered to pay $137M to ex-worker over hostile work environment
10/7/2021,GM says it will double annual revenue by 2030 to $280 billion in digital push ...
10/8/2021,Counting down to Tesla’s annual shareholder meeting
10/8/2021,"Musk moving Tesla headquarters to Austin, Texas"
10/8/2021,"Here are Friday’s biggest analyst calls of the day: Home Depot, Tesla, Caterpillar, Apple, GM ..."
10/8/2021,8VC founder Joe Lonsdale on Elon Musk’s decision to move Tesla to Texas
10/8/2021,"Tesla moving to Texas is a big win for the state, says Gene Munster"
10/9/2021,Here’s why one analyst thinks Tesla is ‘Apple-esque’
10/9/2021,Why this Tesla analyst is bullish on the stock after the shareholder meeting
10/9/2021,"Trading Nation: What Alphabet, Tesla and Crocs have in common"
10/9/2021,Craig Irwin from Roth Capital Partners explains his $150 price target for Tesla
10/11/2021,"Green hydrogen, Tesla and more: Morgan Stanley names stocks set to pop"
10/13/2021,Options Action: Tesla jumps
10/15/2021,Tesla takes two of three top spots in China’s most popular EV list
10/16/2021,Cramer’s week ahead: I expect a blowout quarter from Tesla
10/20/2021,Options Action: Tesla earnings on tap
10/20/2021,"Wedbush’s Joel Kulina breaks down Netflix, Tesla reports"
10/20/2021,"Here are Wednesday’s biggest analyst calls of the day: Tesla, Amazon, McDonald’s, Netflix & more"
10/21/2021,"Baird analyst Ben Kallo looks ahead to Tesla Q3 earnings, conference call: Not just a ..."
10/21/2021,"SpaceX expected to become more valuable than Tesla, Morgan Stanley survey finds"
10/21/2021,Tesla reports record revenue and profits in Q3 — Four experts discuss the stock now
10/21/2021,Fmr. Tesla exec on key takeaways from company’s Q3 earnings
10/21/2021,"Jim Cramer on AT&T, Tesla, HP, Unilever and more"
10/21/2021,"Tesla has set up its two existing factories to be ‘extremely profitable,’ says equity strategist"
10/25/2021,"Tesla soars after Hertz announces plan to buy 100,000 cars"
10/26/2021,"Stocks making the biggest moves midday: Tesla, PayPal, Pinterest and more"
10/26/2021,Steve Weiss buys Tesla calls ahead of the company passing a $1 trillion valuation
10/26/2021,Wedbush’s Ives says Tesla demand outstrips supply
10/26/2021,Tesla hits an all-time high $1 trillion valuation
10/26/2021,"Trading Nation: Two traders debate how much further Tesla can run up, now that it’s ..."
10/26/2021,Tesla’s China sales have grown to nearly half the size of the company’s U.S. sales
10/26/2021,"Tesla’s valuation is too much for me, says Roth Capital’s Craig Irwin"
10/27/2021,"The Investment Committee on Tesla: This one is just a monster, says Najarian"
10/27/2021,"GM can ‘absolutely’ catch Tesla by 2025, CEO Mary Barra says"
10/28/2021,"Cramer says Ford CEO ‘ready to bury’ Elon Musk and Tesla, still loves Ford stock"
10/29/2021,"Tesla could be a $2.5 trillion company, says Loup Ventures’ Munster"
11/1/2021,Susquehanna’s Chris Murphy breaks down the recent call action in Tesla as the stock hits ...
11/1/2021,Jim Cramer on electric car shares and why Tesla is a ‘phenomenon’
11/1/2021,"Watch CNBC’s full discussion with Jim Cramer on shares of Tesla, Barclays CEO and more"
11/2/2021,"Pete Najarian’s latest options moves on Tesla, Microsoft and Meta (formerly Facebook)"
11/2/2021,Ark Invest analyst says Tesla’s robotaxi platforms could drive $9T revenue
11/2/2021,Hertz deal with Tesla in question after Musk tweet
11/2/2021,Why Jim Cramer thinks it’s ‘a mistake’ to sell Tesla on dip
11/3/2021,The Margins co-editor tries to put Tesla’s valuation in context
11/3/2021,"Ford, GM and Toyota ‘started too late’ in EV push: fmr. Tesla board member says"
11/3/2021,Kelly Evans: The rise of Tesla
11/8/2021,Should Elon Musk sell 10% of his Tesla stock? Twitter users vote ‘yes’
11/9/2021,"PepsiCo CEO Ramon Laguarta on Tesla EV deliveries, carbon credit market"
11/9/2021,"Canaccord, Jefferies up Tesla price target"
11/9/2021,Jefferies raises Tesla price target to Street high
11/10/2021,"Watch the full CNBC interview with New Street Research’s Pierre Ferragu, who says Tesla’s in ..."
3/12/2022,"Single-stock ETFs on Amazon, Meta, Tesla and more are coming. Here’s what we know"
3/17/2022,"Here are Thursday’s biggest analyst calls of the day: Apple, Tesla, Chipotle, FedEx, Netflix & ..."
3/18/2022,China’s Xpeng hikes price of cars following Tesla and other EV makers as raw material ...
3/18/2022,"Here are Friday’s biggest analyst calls of the day: Amazon, Netflix, Microsoft, Tesla & more"
3/19/2022,"Stocks making the biggest moves midday: GameStop, Tesla, FedEx and more"
3/21/2022,"Here are Monday’s biggest analyst calls of the day: Apple, Tesla, Nio, Nvidia, General Motors ..."
3/22/2022,"Here are Tuesday’s biggest analyst calls of the day: Apple, Tesla, Deere, Zoom, Boeing, Nike ..."
3/22/2022,"Tesla’s stock is about to have a big run, says Jim Cramer"
3/23/2022,"Tesla’s new factory in Germany will reduce reliance on China, says Canaccord’s analyst Dorsheimer"
3/23/2022,Elon Musk dances at the opening of Tesla’s new factory in Germany
3/25/2022,"Here are Friday’s biggest analyst calls of the day: Disney, Apple, Tesla, Amazon, Joby & ..."
3/29/2022,"Stocks making the biggest moves midday: Tesla, Coinbase, AMC Entertainment, Beyond Meat and more"
3/29/2022,"Tesla’s stock split shows confidence in the company, says DataTrek Research’s Nicholas Colas"
3/29/2022,"Here are Tuesday’s biggest analyst calls of the day: Tesla, McDonald’s, Walmart, Petco & more"
3/30/2022,"Here are Wednesday’s biggest analyst calls of the day: Tesla, Netflix, Apple, McDonald’s & more"
4/1/2022,"Tesla, Simon Property and more: CNBC’s ‘Halftime Report’ traders answer your questions"
9/8/2022,"Final Trades: Abbvie, Tesla, Alaska Air & more"
11/9/2021,Tesla sinks after Twitter voters vote for Musk to sell shares
11/10/2021,Tesla shares sink for the third straight day
10/20/2021,"Get ready for revved up Tesla profits, Morgan Stanley’s Adam Jonas predicts"
10/21/2021,Gene Munster breaks down Tesla earnings
10/26/2021,Tesla soars on Hertz deal
10/26/2021,Here’s what’s next for Tesla
3/7/2024,Elon Musk’s pick for district attorney of Texas’ Travis County lost on Tuesday
7/24/2020,"Tesla sues Rivian for allegedly stealing secrets, poaching employees"
8/26/2020,"Jefferies raises Tesla price target to Wall Street high of $2,500, says auto revolution still ..."
9/8/2020,Tesla rebounds 7% after suffering its worst single-day loss in history
9/16/2020,Tesla gets two price target hikes ahead of Tuesday’s Battery Day
9/20/2020,Musk cautions innovations at Tesla ‘battery day’ won’t be widespread until 2022
9/22/2020,Here’s the email Elon Musk sent Tesla employees with 10 days left in Q3
9/23/2020,"Deutsche Bank upgrades Tesla after ‘Battery Day,’ says investors should ‘take advantage’ of pullback"
9/24/2020,Tesla sues U.S. government to overturn Trump administration tariffs on China
9/29/2020,"Elon Musk: Tesla may be overvalued today, but I think it’ll be worth more in ..."
10/3/2020,Where Elon Musk and Tesla earn real credit ‘eating the lunch’ of auto competitors
10/15/2020,Elon Musk cuts Tesla Model S price twice in one week
10/22/2020,Tesla shares jump 5% after reporting fifth consecutive quarter of profits
10/24/2020,Two traditional auto stocks are outpacing high-momentum Tesla shares this month
10/24/2020,"Tesla recalls nearly 50,000 Model S and X cars in China over faulty suspension"
11/7/2020,Toyota president: Tesla has ‘not created a real business in the real world yet’
11/17/2020,Tesla stock jumps on carmaker’s addition to the S&P 500
11/18/2020,"Fighting Tesla’s rally is ‘like fighting the Fed,’ trader says after S&P 500 inclusion"
11/19/2020,Consumer Reports is no longer recommending Tesla’s Model S and is panning the reliability of ...
11/20/2020,"Tesla stock to rally another 20% as investors bet on Musk, trader says"
11/23/2020,Chinese EV rivals line up to challenge Tesla on their home turf
11/24/2020,Tesla hits $500 billion market cap for the first time
11/25/2020,Elon Musk hints at Tesla hatchback model for Europe
12/1/2020,S&P’s decision to add Tesla in one shot demonstrates the power of passive investing
12/2/2020,Musk to Tesla employees: ’Our stock will immediately get crushed like a souffle under a ...
12/3/2020,"Goldman Sachs upgrades Tesla, says the stock has massive upside of over 30%"
12/9/2020,"Cramer: Optimistic young investors see Elon Musk as next Steve Jobs, take Tesla to dizzying ..."
12/9/2020,Tesla progress on German factory slowed by sleeping snakes
12/15/2020,Here’s how much 5% invested in Tesla could have made for S&P 500 index fund ...
12/18/2020,"Elon Musk should apologize for mocking gender pronouns, says group that gave Tesla top LGBTQ-friendly ..."
12/19/2020,Cramer’s week ahead: More upside after Tesla’s S&P 500 welcome
12/23/2020,"Elon Musk says he once considered selling Tesla to Apple, Tim Cook didn’t want to ..."
1/8/2021,Chamath Palihapitiya says there’s a big disruption coming that will cause Tesla to double again
1/8/2021,"Tesla closes day as fifth most valuable U.S. company, passing Facebook"
1/9/2021,Bill Miller says passing on Tesla was one of his big investing mistakes
1/12/2021,"Nio is attracting young investors in search of the next Tesla, says Cramer"
3/16/2021,"Cramer says Ford, General Motors are picking up momentum as Tesla shares slip"
3/16/2021,"Top fund manager: Forget Tesla, these automakers are set to ‘win the game’"
3/20/2021,"Musk says Tesla would be shut down if its cars spied in China, elsewhere"
4/5/2021,"Record deliveries a ‘paradigm changer’ for Tesla, stock to jump 50%, Wedbush says"
4/6/2021,Tesla appeals order to delete Elon Musk’s tweet about unions
4/26/2021,Tesla reports earnings this afternoon. Traders share whether it’s a buy here
4/27/2021,"Tesla posts record net income of $438 million, revenue surges by 74%"
4/28/2021,Tesla is now sitting on $2.5 billion of bitcoin
5/3/2021,Tesla bear on Elon Musk’s unique compensation plan
5/13/2021,"Chinese EV buyers want luxury — and they’re looking somewhere besides Tesla, says fund manager"
5/13/2021,"Elon Musk’s bitcoin backtrack could make Tesla shares even more volatile, Wedbush says"
5/14/2021,"Bitcoin slides after Elon Musk tweets climate concerns, suspends Tesla payment acceptance: CNBC After Hours"
5/16/2021,Why Elon Musk was wrong to get Tesla into bitcoin in the first place
5/18/2021,"When shorting a theme, it gets dangerous: Munster on big Tesla short"
5/21/2021,From anti-Tesla design to huge frunk: 5 things to know about the electric Ford F-150 ...
5/29/2021,"Inside Tesla’s Megapack system, which stores energy for utilities"
6/11/2021,Tesla analyst on his key takeaways from the Model S Plaid debut
6/14/2021,Musk says Tesla will accept bitcoin again as crypto miners use more clean energy
6/19/2021,Ex-Tesla president sold stocks worth $247 million since June 10
8/18/2021,Trading Nation: Tesla hits the skids
8/18/2021,Cramer’s lightning round: I would buy some Tesla now
8/18/2021,"Tesla autopilot probe ‘makes complete sense’, says New Street’s Ferragu"
8/18/2021,What it would take for other automakers to compete with Tesla
8/19/2021,Tesla advances faster than other car companies: Loup’s Munster
8/20/2021,"Tesla hosts ‘AI Day,’ in spite of Musk’s previous warnings about Artificial Intelligence"
8/20/2021,"Right now, investors have a glass-half-empty view of Tesla, says Wedbush’s Ives"
8/20/2021,"Tesla has a edge in the global EVs space — its China factory, strategist says"
8/20/2021,Only viable robotic product so far is the Roomba: Analyst on Tesla bot
8/20/2021,"Tesla appears far ahead of competitors in autonomous tech, says Loup’s Munster"
8/20/2021,"Tesla Bot expected to be ready next year for limited tasks, company says"
8/21/2021,"Watch CNBC’s full interview with Tesla bear and Bernstein analyst, Toni Sacconaghi"
8/23/2021,"Here are Monday’s biggest analyst calls of the day: Amazon, Tesla, Robinhood, Exxon, Peloton & ..."
8/25/2021,"Tesla, Moderna are among hedge funds’ favorite stocks to short as the investment strategy rebounds"
9/3/2021,"Airbnb, ServiceNow, Tesla — Halftime traders on their picks as S&P 500 nears record highs"
9/5/2021,Victim of Tesla crash in Texas had an alcohol level exceeding the legal limit
9/14/2021,"Ark Invest’s Cathie Wood on Tesla, markets and crypto"
9/15/2021,"EV start-up Rivian beats Tesla, GM, Ford as first automaker to produce electric pickup"
9/17/2021,Tesla CEO Elon Musk praises Chinese car companies in speech at green vehicle conference
9/18/2021,Morgan Stanley auto analyst presents his bull and bear case on Tesla
9/24/2021,"China’s ‘common prosperity’ push could put Tesla and these other U.S. stocks at risk, BofA ..."
9/28/2021,"Tesla, Apple suspend production after China imposes strict energy consumption rules"
9/29/2021,"Here are Wednesday’s biggest analyst calls of the day: Tesla, Robinhood, Amazon, Ford, Apple & ..."
10/1/2021,Degas Wright on why he’s still invested in Tesla
1/24/2022,"Here are Monday’s biggest analyst calls of the day: Tesla, Amazon, Microsoft, Charter, Apple & ..."
1/25/2022,Short sellers are up $114 billion this year with winning bets against Tesla and Netflix
1/26/2022,Jefferies’ Philippe Houchois on what he is expecting from Tesla’s Q4 earnings
1/27/2022,"We’ll be looking at Tesla’s self-driving capabilities, says Oppenheimer analyst"
1/28/2022,"Stocks making the biggest moves midday: Tesla, Netflix, Intel and more"
1/28/2022,"Best trades on CNBC Thursday: Tesla, Boeing, and Apple earnings’ impact on stocks, pros pick ..."
1/29/2022,"Tesla’s still ‘king of the hill’ in EVs, says Westly Group founder"
1/29/2022,"Best trades on CNBC Friday: Pros bet big on Tesla, Apple and Visa as they ..."
2/1/2022,"Stocks making the biggest moves midday: Tesla, Spotify, Netflix, Beyond Meat and more"
2/1/2022,"Tesla’s gross margins and profitability are ahead of everyone, says Mizuho analyst"
2/9/2022,"Tesla’s Model Y gains ground in California, second-best selling car in state"
2/18/2022,Investing Club: What we’re watching Thursday afternoon — including Ford’s Mach-E top EV over Tesla
2/20/2022,Lessons for investors trying to cut their tax bill from Elon Musk’s $5.7 billion Tesla ...
2/21/2022,Tesla’s Autopilot feature is reportedly being investigated by German regulators
2/25/2022,"Here are Friday’s biggest analyst calls of the day: Tesla, Dollar General, Dish Network and ..."
8/11/2022,Jim Cramer gives his thoughts on Elon Musk’s nearly $7 billion Tesla stock sale ahead ...
8/12/2022,"Devon Energy, Tesla, and more: CNBC’s ‘Halftime Report’ traders answer your questions"
8/12/2022,"Tesla still the clear winner in EVs, says Loup Ventures’ Gene Munster"
8/23/2022,"Here are Tuesday’s biggest analyst calls: Apple, Zoom, McDonald’s, AMC, Walmart, Uber, Tesla & more"
3/23/2024,What investors should know about the U.S. easing vehicle emissions rules
4/4/2020,"Tesla is dismissing contractors from its California and Nevada factories, sources say"
4/29/2020,Here’s how Tesla and SpaceX worked with and paid each other in the past year
5/14/2020,"California AG says local officials are dealing with Tesla’s reopening, but he’s ‘ready to enforce’ ..."
5/28/2020,Tesla price cuts show realism in face of coronavirus slowdown
5/29/2020,"Elon Musk earns first performance-based payout from Tesla, worth more than $700 million"
5/29/2020,"Tesla sent 20 staffers to SpaceX, Elon Musk’s other company, filing shows"
6/9/2020,Tesla shares hit record closing price
6/16/2020,"Tesla cuts price of Model S Long Range Plus, says EPA-rated range improved to 402 ..."
6/20/2020,Tesla tells employees merit awards are on hold after Covid-19
6/25/2020,"Tesla lags auto industry in quality, finds new J.D. Power study"
6/26/2020,"Tesla’s industry lead is growing as legacy automakers ‘flail’ on driverless cars, Ark Invest analyst ..."
6/29/2020,Elon Musk beat the short sellers and Tesla gained new types of investors along the ...
6/30/2020,Elon Musk emails Tesla employees: ‘Breaking even is looking super tight’
7/2/2020,Tesla shares soar after reporting big beat on second-quarter deliveries
7/3/2020,"Tesla ended reduced salaries this week, says internal email"
7/8/2020,"Tesla is a ‘stock you cannot fundamentally value,’ trader says. Here’s his strategy for its ..."
7/10/2020,NYU’s ‘Dean of Valuation’ on Tesla’s massive run: The virus ‘handicapped’ its competition
7/14/2020,Tesla cuts Model Y price and cancels standard range version
7/15/2020,"Texas county approves tax breaks for Tesla, if it builds a $1.1 billion car plant ..."
7/15/2020,"Tesla stock needs to drop by $1,000 to be a buy, trader says"
7/17/2020,Credit Suisse doubles Tesla stock price forecast but is still neutral
7/23/2020,Tesla reports fourth straight quarter of profits
7/23/2020,"Tesla will build its next Gigafactory near Austin, Texas"
7/23/2020,"Tesla could see shares reverse in fourth quarter, says major bear who has a $300 ..."
7/23/2020,Chamath Palihapitiya: Tesla’s push toward renewable energy could make it worth trillions
7/23/2020,"Tesla’s stock price and market valuation are ‘insane,’ says AutoNation CEO Mike Jackson"
7/23/2020,Cramer says Tesla CEO Elon Musk is a ‘big thinker’ who makes us look like ...
7/23/2020,Tesla’s sale of environmental credits help drive to profitability
7/24/2020,Tesla shares slide 6% as traders take profits from 2020′s high-flying stocks
8/12/2020,Tesla announces five-for-one stock split
